HT,AT,WINNER,HS,AS,Q1H,Q1A,Q2H,Q2A,Q3H,Q3A,Q4H,Q4A
Zalgiris Kaunas,Panathinaikos,Zalgiris Kaunas,82,69,13,19,20,18,19,14,30,18
Anadolu Efes SK,Darussafaka Ct,Anadolu Efes SK,82,68,21,14,24,11,21,20,16,23
Gran Canaria,Fenerbahce Ulker,Fenerbahce Ulker,64,82,19,24,13,20,19,12,13,26
Maccabi Tel Aviv,Barcelona,Maccabi Tel Aviv,99,83,23,20,34,15,28,17,14,31
Olympiacos,Khimki,Olympiacos,71,57,20,11,12,11,23,14,16,21
CSKA Moscow,Bayern,CSKA Moscow,77,70,13,20,22,17,17,20,25,13
Barcelona,Panathinaikos,Barcelona,79,68,17,13,20,23,19,16,23,16
Baskonia,Gran Canaria,Baskonia,83,66,16,23,23,19,16,9,28,15
Bayern,Olimpia Milano,Bayern,93,87,23,22,30,23,24,23,16,19
Buducnost,Darussafaka Ct,Buducnost,75,74,16,14,20,28,22,11,17,21
CSKA Moscow,Maccabi Tel Aviv,Maccabi Tel Aviv,76,93,24,22,17,24,21,18,14,29
Real Madrid,Olympiacos,Real Madrid,94,78,28,23,26,23,18,17,22,15
Fenerbahce Ulker,Zalgiris Kaunas,Fenerbahce Ulker,78,61,19,11,24,18,14,15,21,17
Anadolu Efes SK,Khimki,Anadolu Efes SK,81,72,23,16,13,18,26,17,19,21
Olimpia Milano,Barcelona,Barcelona,85,90,16,17,21,19,20,29,28,25
Maccabi Tel Aviv,Buducnost,Maccabi Tel Aviv,81,76,12,18,22,19,25,23,22,16
Panathinaikos,Bayern,Panathinaikos,77,67,22,11,21,21,16,18,18,17
Darussafaka Ct,CSKA Moscow,CSKA Moscow,65,80,16,25,18,19,15,16,16,20
Gran Canaria,Real Madrid,Real Madrid,67,75,15,16,19,11,22,25,11,23
Olympiacos,Baskonia,Olympiacos,91,87,20,22,23,25,12,15,25,18
Zalgiris Kaunas,Anadolu Efes SK,Anadolu Efes SK,58,79,14,16,15,24,16,23,13,16
Khimki,Fenerbahce Ulker,Khimki,84,78,13,23,25,18,19,13,15,18
Barcelona,Darussafaka Ct,Barcelona,97,65,29,16,25,11,19,18,24,20
Olympiacos,Panathinaikos,Olympiacos,79,65,16,14,25,11,18,15,20,25
Zalgiris Kaunas,CSKA Moscow,CSKA Moscow,79,84,17,28,17,16,25,11,20,29
Fenerbahce Ulker,Baskonia,Fenerbahce Ulker,96,87,27,25,21,16,27,24,21,22
Gran Canaria,Khimki,Khimki,70,99,30,23,6,27,14,23,20,26
Olimpia Milano,Buducnost,Olimpia Milano,111,94,36,22,20,23,26,21,29,28
Real Madrid,Maccabi Tel Aviv,Real Madrid,91,79,21,19,23,25,25,18,22,17
Anadolu Efes SK,Bayern,Anadolu Efes SK,92,77,27,18,28,18,15,18,22,23
Gran Canaria,Zalgiris Kaunas,Gran Canaria,73,66,20,17,16,9,21,24,16,16
Bayern,Buducnost,Bayern,93,88,14,21,24,28,27,21,28,18
Panathinaikos,CSKA Moscow,Panathinaikos,96,84,19,26,36,18,17,18,24,22
Fenerbahce Ulker,Real Madrid,Fenerbahce Ulker,65,63,22,12,10,20,16,12,17,19
Barcelona,Anadolu Efes SK,Barcelona,80,65,23,29,16,21,20,7,21,8
Maccabi Tel Aviv,Olimpia Milano,Maccabi Tel Aviv,94,92,21,24,25,24,29,27,19,17
Darussafaka Ct,Olympiacos,Darussafaka Ct,79,75,24,12,18,19,18,22,19,22
Khimki,Baskonia,Baskonia,77,85,19,27,17,16,22,14,19,28
Bayern,Real Madrid,Real Madrid,72,82,16,27,15,19,28,19,13,17
Panathinaikos,Olimpia Milano,Olimpia Milano,83,86,23,21,17,26,16,17,27,22
Zalgiris Kaunas,Maccabi Tel Aviv,Zalgiris Kaunas,80,73,16,16,23,17,20,20,21,20
Khimki,Darussafaka Ct,Khimki,85,84,30,18,15,25,24,14,16,27
Baskonia,Barcelona,Barcelona,70,77,16,19,23,23,16,7,15,28
Buducnost,Fenerbahce Ulker,Fenerbahce Ulker,65,89,20,26,20,14,15,27,10,22
Olympiacos,Gran Canaria,Olympiacos,98,77,20,14,32,19,21,21,25,23
CSKA Moscow,Anadolu Efes SK,CSKA Moscow,102,84,31,24,25,30,21,14,25,16
Real Madrid,Panathinaikos,Real Madrid,89,68,23,10,20,21,20,24,26,13
Olimpia Milano,Bayern,Bayern,78,80,16,15,24,26,17,17,21,22
Maccabi Tel Aviv,Khimki,Maccabi Tel Aviv,79,63,16,18,19,13,26,11,18,21
Darussafaka Ct,Zalgiris Kaunas,Zalgiris Kaunas,71,75,19,15,20,18,14,16,18,26
Gran Canaria,Baskonia,Baskonia,71,84,27,22,8,19,18,27,18,16
Barcelona,Olympiacos,Olympiacos,60,69,14,17,16,15,18,23,12,14
Fenerbahce Ulker,CSKA Moscow,Fenerbahce Ulker,79,75,18,26,18,22,24,14,19,13
Anadolu Efes SK,Buducnost,Anadolu Efes SK,106,68,29,20,20,21,32,12,25,15
Gran Canaria,Buducnost,Gran Canaria,95,85,26,20,30,14,26,23,13,28
Bayern,Zalgiris Kaunas,Bayern,88,84,18,12,28,26,17,23,25,23
Panathinaikos,Darussafaka Ct,Panathinaikos,75,67,22,16,21,16,14,21,18,14
Real Madrid,Barcelona,Real Madrid,92,65,22,17,31,13,16,20,23,15
Maccabi Tel Aviv,Baskonia,Baskonia,79,81,17,22,24,14,20,18,18,27
Fenerbahce Ulker,Olimpia Milano,Fenerbahce Ulker,92,85,15,21,25,19,27,18,25,27
CSKA Moscow,Khimki,CSKA Moscow,88,74,24,17,25,23,26,13,13,21
Olympiacos,Anadolu Efes SK,Olympiacos,88,81,25,12,23,34,17,22,23,13
Baskonia,CSKA Moscow,Baskonia,76,73,21,21,19,17,15,17,21,18
Panathinaikos,Fenerbahce Ulker,Fenerbahce Ulker,69,81,12,18,21,17,19,21,17,25
Anadolu Efes SK,Real Madrid,Real Madrid,82,84,23,23,29,22,22,15,8,24
Olimpia Milano,Gran Canaria,Gran Canaria,86,94,22,20,18,28,23,23,23,23
Bayern,Khimki,Bayern,72,65,16,16,15,12,23,22,18,15
Buducnost,Barcelona,Buducnost,67,64,14,15,17,18,15,13,21,18
Darussafaka Ct,Maccabi Tel Aviv,Maccabi Tel Aviv,71,73,17,17,25,19,20,15,9,22
Zalgiris Kaunas,Olympiacos,Zalgiris Kaunas,83,75,19,29,21,19,20,11,23,16
Barcelona,Fenerbahce Ulker,Fenerbahce Ulker,65,84,17,23,19,22,11,19,18,20
Olympiacos,Buducnost,Olympiacos,92,70,25,20,19,17,32,14,16,19
Anadolu Efes SK,Baskonia,Anadolu Efes SK,96,85,25,17,19,25,31,25,21,18
Khimki,Panathinaikos,Khimki,76,68,29,25,19,19,11,7,17,17
