teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
ORL,85,UTA,125,Loss,Home,26,22,19,18,0,0,0,0,29,34,34,28,0,0,0,0
ATL,99,BOS,110,Loss,Home,35,15,27,22,0,0,0,0,20,24,36,30,0,0,0,0
PHI,116,GS,124,Loss,Home,47,27,15,27,0,0,0,0,28,24,47,25,0,0,0,0
MEM,83,HOU,105,Loss,Home,25,25,17,16,0,0,0,0,33,26,23,23,0,0,0,0
DAL,111,MIL,79,Win,Home,33,23,26,29,0,0,0,0,24,20,17,18,0,0,0,0
POR,102,SAC,90,Win,Home,21,32,27,22,0,0,0,0,20,21,22,27,0,0,0,0
MIA,95,IND,120,Loss,Home,27,28,13,27,0,0,0,0,29,29,32,30,0,0,0,0
BKN,111,GS,118,Loss,Home,20,22,42,27,0,0,0,0,32,32,34,20,0,0,0,0
TOR,100,WAS,91,Win,Home,28,32,19,21,0,0,0,0,28,27,21,15,0,0,0,0
MIN,97,DET,100,Loss,Home,24,29,27,17,0,0,0,0,22,27,22,29,0,0,0,0
PHO,113,CHI,105,Win,Home,30,31,24,28,0,0,0,0,37,19,28,21,0,0,0,0
LAL,127,DEN,109,Win,Home,32,38,29,28,0,0,0,0,26,22,36,25,0,0,0,0
CHA,118,MIN,102,Win,Home,26,29,29,34,0,0,0,0,24,28,28,22,0,0,0,0
DET,88,CLE,116,Loss,Home,23,23,16,26,0,0,0,0,36,37,28,15,0,0,0,0
ORL,97,IND,105,Loss,Home,31,24,17,25,0,0,0,0,34,16,28,27,0,0,0,0
PHI,107,UTA,86,Win,Home,25,22,28,32,0,0,0,0,15,21,27,23,0,0,0,0
NY,107,LAC,85,Win,Home,20,36,27,24,0,0,0,0,20,24,24,17,0,0,0,0
MEM,92,POR,100,Loss,Home,24,22,25,21,0,0,0,0,23,32,17,28,0,0,0,0
MIL,88,WAS,99,Loss,Home,19,27,20,22,0,0,0,0,27,20,26,26,0,0,0,0
NO,114,OKC,107,Win,Home,24,33,30,27,0,0,0,0,33,32,21,21,0,0,0,0
DAL,102,BOS,110,Loss,Home,22,27,28,19,6,0,0,0,34,19,16,27,14,0,0,0
